Pos,Team,Pld,W,D,L,GF,GA,GD,Pts,Season,Point_per_match,Win_percentage
6,Real Betis,38,16,12,10,57,50,7,60,24/25,1.58,42.11
6,Real Sociedad,38,16,12,10,51,39,12,60,23/24,1.58,42.11
6,Real Betis,38,17,9,12,46,41,5,60,22/23,1.58,44.74
6,Real Sociedad,38,17,11,10,40,37,3,62,21/22,1.63,44.74
6,Real Betis,38,17,10,11,50,50,0,61,20/21,1.61,44.74
6,Real Sociedad,38,16,8,14,56,48,8,56,19/20,1.47,42.11
6,Sevilla,38,17,8,13,62,47,15,59,18/19,1.55,44.74
6,Real Betis,38,18,6,14,60,61,-1,60,17/18,1.58,47.37
6,Real Sociedad,38,19,7,12,59,53,6,64,16/17,1.68,50.0
6,Celta Vigo,38,17,9,12,51,59,-8,60,15/16,1.58,44.74
6,Villarreal,38,16,12,10,48,37,11,60,14/15,1.58,42.11
