Pos,Team,Pld,W,D,L,GF,GA,GD,Pts,Season,Point_per_match,Win_percentage
1,Barcelona (C),38,28,4,6,102,39,63,88,24/25,2.32,73.68
1,Real Madrid (C),38,29,8,1,87,26,61,95,23/24,2.5,76.32
1,Barcelona (C),38,28,4,6,70,20,50,88,22/23,2.32,73.68
1,Real Madrid (C),38,26,8,4,80,31,49,86,21/22,2.26,68.42
1,Atletico Madrid (C),38,26,8,4,67,25,42,86,20/21,2.26,68.42
1,Real Madrid (C),38,26,9,3,70,25,45,87,19/20,2.29,68.42
1,Barcelona (C),38,26,9,3,90,36,54,87,18/19,2.29,68.42
1,Barcelona (C),38,28,9,1,99,29,70,93,17/18,2.45,73.68
1,Real Madrid (C),38,29,6,3,106,41,65,93,16/17,2.45,76.32
1,Barcelona (C),38,29,4,5,112,29,83,91,15/16,2.39,76.32
1,Barcelona (C),38,30,4,4,110,21,89,94,14/15,2.47,78.95
